author,total_messages,total_words,avg_messages_per_day,avg_words_per_day
Balkanskiy_N,1,1,0.00273224043715847,0.00273224043715847
IzanC25,6,70,0.01639344262295082,0.1912568306010929
casa,1,2,0.00273224043715847,0.00546448087431694
MoonToxic (I-FR),1,1,0.00273224043715847,0.00273224043715847
Jan Wexel,3,40,0.00819672131147541,0.1092896174863388
Mumiak Reithmann,2,3,0.00546448087431694,0.00819672131147541
Head of VCSMP Economy A-Fam,25,80,0.06830601092896176,0.2185792349726776
Shennogo,2,37,0.00546448087431694,0.10109289617486339
napoleon,1,2,0.00273224043715847,0.00546448087431694
Formals,1,1,0.00273224043715847,0.00273224043715847
Rep. Arthur Coffee (R-IN),2,3,0.00546448087431694,0.00819672131147541
Champion_Gamer,1,2,0.00273224043715847,0.00546448087431694
Don Orlov,2,4,0.00546448087431694,0.01092896174863388
Shape Smith,5,17,0.01366120218579235,0.04644808743169399
uzy,1,2,0.00273224043715847,0.00546448087431694
Rep. Artemis (D-CT-JK),2,4,0.00546448087431694,0.01092896174863388
a snack hoe,3,21,0.00819672131147541,0.05737704918032787
Rep. Johanna Brenner (R-OL),1,2,0.00273224043715847,0.00546448087431694
JM27,1,2,0.00273224043715847,0.00546448087431694
The Real Ossoff,2,5,0.00546448087431694,0.01366120218579235
flory,1,2,0.00273224043715847,0.00546448087431694
Pigeon,11,180,0.030054644808743168,0.4918032786885246
AOC (R-FL),9,35,0.02459016393442623,0.09562841530054644
Rep. Leonardo Ali (D-OL),3,18,0.00819672131147541,0.04918032786885246
Rep. Alec Truquer,1,2,0.00273224043715847,0.00546448087431694
redaction,1,2,0.00273224043715847,0.00546448087431694
Rep. Dusty Johnson [R-SD],4,48,0.01092896174863388,0.13114754098360656
Earnest Graves,2,38,0.00546448087431694,0.10382513661202186
FoF,1,2,0.00273224043715847,0.00546448087431694
atacticalnuke.12.0,2,4,0.00546448087431694,0.01092896174863388
Captain,1,2,0.00273224043715847,0.00546448087431694
Wolfdragon24,1,2,0.00273224043715847,0.00546448087431694
Jack Kinghoff (D-NY),1,2,0.00273224043715847,0.00546448087431694
Rep. Aislinn Kinsley (R-FT),43,1523,0.11748633879781421,4.16120218579235
Jackson Sharpe,3,6,0.00819672131147541,0.01639344262295082
Rep. Hillary Diane Rodham (D-AR),1,2,0.00273224043715847,0.00546448087431694
Beto O’Rourke,2,4,0.00546448087431694,0.01092896174863388
Dr. Pierre Fontenot PhD,4,82,0.01092896174863388,0.22404371584699453
Walter Black,2,7,0.00546448087431694,0.01912568306010929
Lukas (R-NJ-4),2,44,0.00546448087431694,0.12021857923497267
Rep. Ryan C. West (D-PA),2,15,0.00546448087431694,0.040983606557377046
kuehchen,2,6,0.00546448087431694,0.01639344262295082
Rep. James Catalan,15,100,0.040983606557377046,0.273224043715847
Rep. George Santos R-NY-03,10,65,0.0273224043715847,0.17759562841530055
someonetooksorrow,8,66,0.02185792349726776,0.18032786885245902
Rep Conway (R-OH),39,262,0.10655737704918032,0.7158469945355191
Rep. Matt Gaetz (R-FL),15,43,0.040983606557377046,0.11748633879781421
Bo Nickal,5,14,0.01366120218579235,0.03825136612021858
YAGPDB.xyz,1,5,0.00273224043715847,0.01366120218579235
Rep. Veronica Lopez (R-FL-27),102,826,0.2786885245901639,2.2568306010928962
Hull’s Wife,42,283,0.11475409836065574,0.773224043715847
Winston Churchill,5,15,0.01366120218579235,0.040983606557377046
Rep. Esmè Carrington (R-GA-13),8,23,0.02185792349726776,0.06284153005464481
Marco Angel Reyes-Guerrero,144,1516,0.39344262295081966,4.14207650273224
FmrVPJohnRossIII,1,2,0.00273224043715847,0.00546448087431694
John McKinley Jr.,11,57,0.030054644808743168,0.1557377049180328
Boris Johnson,3,19,0.00819672131147541,0.05191256830601093
Rep. Salim Moreau (R-KS),1,2,0.00273224043715847,0.00546448087431694
Senator Seaver (R_L-PC),376,2613,1.0273224043715847,7.139344262295082
Alycia Debnam-Carey,2,2,0.00546448087431694,0.00546448087431694
Rep. June Burchfield (R-MI),4,1,0.01092896174863388,0.00273224043715847
Rep. Michael Sullivan,1,1,0.00273224043715847,0.00273224043715847
Taitionarae,2,8,0.00546448087431694,0.02185792349726776
Rep. Cal Silver (IND-LN),1,2,0.00273224043715847,0.00546448087431694
Victor,1,1,0.00273224043715847,0.00273224043715847
Rep. Rachel Smith (R-IA),2,2,0.00546448087431694,0.00546448087431694
SandyMelo🦄,1,3,0.00273224043715847,0.00819672131147541
Rep. Xenomorth (R-AL-JK),1,2,0.00273224043715847,0.00546448087431694
cyber,1,2,0.00273224043715847,0.00546448087431694
Rep. Connors (I-OH),27,140,0.07377049180327869,0.3825136612021858
Oliver Fischer (ID-Rep-D),3,6,0.00819672131147541,0.01639344262295082
Rep. Saul Berenson (D-OH),7,34,0.01912568306010929,0.09289617486338798
Dyno,1,7,0.00273224043715847,0.01912568306010929
notadev,3,21,0.00819672131147541,0.05737704918032787
Mr.smith (D_R-LA),38,248,0.10382513661202186,0.6775956284153005
Rep.Raji Mamo (R-MN),7,18,0.01912568306010929,0.04918032786885246
verxile,1,0,0.00273224043715847,0.0
Caroline,4,7,0.01092896174863388,0.01912568306010929
Business Cat ;),2,2,0.00546448087431694,0.00546448087431694
Rep. Donald Trump (R-NY),4,45,0.01092896174863388,0.12295081967213115
Derek ✞,1,2,0.00273224043715847,0.00546448087431694
Rep. Sethyy Bro (D-ND),5,62,0.01366120218579235,0.16939890710382513
Rep. Dana Fabe (D-AK),71,597,0.19398907103825136,1.6311475409836065
R.J. Macready (Larry),1,0,0.00273224043715847,0.0
Meir Yaari revived,1,1,0.00273224043715847,0.00273224043715847
SlithPot,3,21,0.00819672131147541,0.05737704918032787
Rep. Bryan James (D-TX),2,42,0.00546448087431694,0.11475409836065574
Rep. Caleb Manchin (D-WV),5,9,0.01366120218579235,0.02459016393442623
nottrump,2,8,0.00546448087431694,0.02185792349726776
Rep. Mike Beebe (D-AR),2,41,0.00546448087431694,0.11202185792349727
Hakim Lethabo,2,48,0.00546448087431694,0.13114754098360656
Nazerus_Wilker,1,1,0.00273224043715847,0.00273224043715847
Grandpa Lilburne,2,97,0.00546448087431694,0.2650273224043716
𝐄𝐝𝐢𝐭𝐡,1,1,0.00273224043715847,0.00273224043715847
Camopixon,1,2,0.00273224043715847,0.00546448087431694
Jason,3,4,0.00819672131147541,0.01092896174863388
andrew,1,2,0.00273224043715847,0.00546448087431694
Rep. Catwell (I-OL-ME),2,35,0.00546448087431694,0.09562841530054644
